epoch,lr-AdamW,step,test/hr@10,test/hr@100,test/hr@200,test/hr@50,test/mrr,test/ndcg@10,test/ndcg@100,test/ndcg@200,test/ndcg@50,train/loss_epoch,train/loss_step,val/hr@10,val/hr@100,val/hr@200,val/hr@50,val/mrr,val/ndcg@10,val/ndcg@100,val/ndcg@200,val/ndcg@50
0,,47,,,,,,,,,,,,0.04155629128217697,0.21341060101985931,0.3306291401386261,0.13642384111881256,0.024571485817432404,0.02133493311703205,0.05403679981827736,0.0703965350985527,0.04161863774061203
0,,47,,,,,,,,,,5.043701648712158,,,,,,,,,,
,0.001,49,,,,,,,,,,,,,,,,,,,,
1,,49,,,,,,,,,,,4.1481404304504395,,,,,,,,,
1,,95,,,,,,,,,,,,0.08609271794557571,0.3384106159210205,0.4657284915447235,0.2349337786436081,0.044276461005210876,0.04513421654701233,0.09398707002401352,0.11173182725906372,0.07720889151096344
1,,95,,,,,,,,,,3.8848164081573486,,,,,,,,,,
,0.001,99,,,,,,,,,,,,,,,,,,,,
2,,99,,,,,,,,,,,3.498709201812744,,,,,,,,,
2,,143,,,,,,,,,,,,0.14105960726737976,0.45049670338630676,0.5759933590888977,0.34238409996032715,0.06659652292728424,0.07336965203285217,0.1346684992313385,0.15220221877098083,0.11717104911804199
2,,143,,,,,,,,,,3.4059946537017822,,,,,,,,,,
,0.001,149,,,,,,,,,,,,,,,,,,,,
3,,149,,,,,,,,,,,3.1131162643432617,,,,,,,,,
3,,191,,,,,,,,,,,,0.1821192055940628,0.5223510265350342,0.6392384171485901,0.4019867479801178,0.08809171617031097,0.09896884858608246,0.16646134853363037,0.18284454941749573,0.14699824154376984
3,,191,,,,,,,,,,3.047773838043213,,,,,,,,,,
,0.001,199,,,,,,,,,,,,,,,,,,,,
4,,199,,,,,,,,,,,2.8824362754821777,,,,,,,,,
4,,239,,,,,,,,,,,,0.2029801309108734,0.5569536685943604,0.6711920499801636,0.43725165724754333,0.09847278892993927,0.11113162338733673,0.18210859596729279,0.19808289408683777,0.16268885135650635
4,,239,,,,,,,,,,2.8384532928466797,,,,,,,,,,
,0.001,249,,,,,,,,,,,,,,,,,,,,
5,,249,,,,,,,,,,,2.7950057983398438,,,,,,,,,
5,,287,,,,,,,,,,,,0.2149006724357605,0.574999988079071,0.690728485584259,0.46357616782188416,0.10351710021495819,0.1174897700548172,0.1903095841407776,0.20651835203170776,0.17223049700260162
5,,287,,,,,,,,,,2.7225797176361084,,,,,,,,,,
,0.001,299,,,,,,,,,,,,,,,,,,,,
6,,299,,,,,,,,,,,2.629991292953491,,,,,,,,,
6,,335,,,,,,,,,,,,0.2276490032672882,0.5875827670097351,0.6975165605545044,0.4723510146141052,0.10699044913053513,0.12326359003782272,0.1957511454820633,0.21118320524692535,0.1770372837781906
6,,335,,,,,,,,,,2.643336534500122,,,,,,,,,,
,0.001,349,,,,,,,,,,,,,,,,,,,,
7,,349,,,,,,,,,,,2.6787662506103516,,,,,,,,,
7,,383,,,,,,,,,,,,0.23559603095054626,0.6092715263366699,0.7167218923568726,0.4900662302970886,0.11505477130413055,0.13093020021915436,0.20640958845615387,0.22144800424575806,0.18707121908664703
7,,383,,,,,,,,,,2.583850383758545,,,,,,,,,,
,0.001,399,,,,,,,,,,,,,,,,,,,,
8,,399,,,,,,,,,,,2.4323558807373047,,,,,,,,,
8,,431,,,,,,,,,,,,0.24370861053466797,0.615562915802002,0.7233443856239319,0.5021523237228394,0.11525473743677139,0.13305708765983582,0.2081926465034485,0.22330249845981598,0.1896965354681015
8,,431,,,,,,,,,,2.5396900177001953,,,,,,,,,,
