user_index,user_id,history_length,target_id,target_rating,perturbation_type,position_label,position_index,position_fraction,original_item_id,perturbed_item_id,repetition,seed,top_k,topk_overlap,jaccard,js_divergence,original_top1_id,perturbed_top1_id,top1_changed,original_target_rank,perturbed_target_rank,target_rank_delta,original_target_in_topk,perturbed_target_in_topk,original_topk_ids,perturbed_topk_ids
0,1,52,48,5,delete,first,0,0.0,3186,,0,,10,1.0,1.0,0.00011126338686672356,364,364,False,2,2,0,True,True,"[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]","[364, 48, 1688, 2089, 2394, 1064, 13, 1405, 2083, 2092]"
0,1,52,48,5,replace_random,first,0,0.0,3186,3193.0,0,42.0,10,0.9,0.8181818181818182,0.0001578477125326866,364,364,False,2,3,1,True,True,"[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]","[364, 1688, 48, 2089, 2394, 1405, 1064, 2083, 13, 3157]"
0,1,52,48,5,replace_random,first,0,0.0,3186,1377.0,1,43.0,10,0.9,0.8181818181818182,0.00021723866034923875,364,364,False,2,2,0,True,True,"[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]","[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 3157]"
0,1,52,48,5,replace_random,first,0,0.0,3186,552.0,2,44.0,10,0.9,0.8181818181818182,0.00021545469705241195,364,364,False,2,2,0,True,True,"[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]","[364, 48, 1688, 2089, 2394, 1064, 1405, 2083, 13, 3157]"
0,1,52,48,5,replace_random,first,0,0.0,3186,3489.0,3,45.0,10,0.9,0.8181818181818182,0.00022664848813579424,364,364,False,2,2,0,True,True,"[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]","[364, 48, 1688, 2089, 2394, 1064, 1405, 2083, 13, 3157]"
0,1,52,48,5,replace_random,first,0,0.0,3186,2746.0,4,46.0,10,0.9,0.8181818181818182,0.00022141276375079458,364,364,False,2,2,0,True,True,"[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]","[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 3157]"
0,1,52,48,5,delete,p25,13,0.2549019607843137,608,,0,,10,1.0,1.0,0.00012672591570589222,364,364,False,2,2,0,True,True,"[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]","[364, 48, 1688, 2089, 2394, 1064, 13, 1405, 2083, 2092]"
0,1,52,48,5,replace_random,p25,13,0.2549019607843137,608,1133.0,0,445.0,10,1.0,1.0,0.00017011878061046236,364,364,False,2,2,0,True,True,"[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]","[364, 48, 1688, 2089, 2394, 1064, 1405, 2083, 13, 2092]"
0,1,52,48,5,replace_random,p25,13,0.2549019607843137,608,925.0,1,446.0,10,1.0,1.0,0.000194746737122796,364,364,False,2,2,0,True,True,"[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]","[364, 48, 1688, 2089, 2394, 1064, 1405, 2083, 13, 2092]"
0,1,52,48,5,replace_random,p25,13,0.2549019607843137,608,1983.0,2,447.0,10,1.0,1.0,0.00018761179578742642,364,364,False,2,2,0,True,True,"[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]","[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]"
0,1,52,48,5,replace_random,p25,13,0.2549019607843137,608,3634.0,3,448.0,10,1.0,1.0,0.0001978007927327993,364,364,False,2,2,0,True,True,"[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]","[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]"
0,1,52,48,5,replace_random,p25,13,0.2549019607843137,608,1716.0,4,449.0,10,1.0,1.0,0.00016975945930502922,364,364,False,2,2,0,True,True,"[364, 48, 1688, 2089, 2394, 1405, 1064, 2083, 13, 2092]","[364, 48, 1688, 2089, 2394, 1064, 1405, 2083, 13, 2092]"
