perturbation_type,history_bin_index,history_bin,n,topk_overlap_mean,topk_overlap_std,jaccard_mean,jaccard_std,js_divergence_mean,js_divergence_std,target_rank_delta_mean,target_rank_delta_std,top1_changed_mean,top1_changed_std,original_target_in_topk_mean,original_target_in_topk_std,perturbed_target_in_topk_mean,perturbed_target_in_topk_std
delete,0,19-35,500,0.842000,0.190232,0.763483,0.226459,0.000169,0.000117,4.356000,61.22,0.266000,0.442307,0.390000,0.488238,0.372000,0.483822
delete,1,35-63,500,0.829800,0.215371,0.753646,0.248381,0.000182,0.000179,-2.058000,72.65,0.266000,0.442307,0.330000,0.470684,0.314000,0.464581
delete,2,63-107,500,0.823400,0.177130,0.731455,0.214552,0.000162,0.000111,0.966000,97.64,0.294000,0.456048,0.330000,0.470684,0.330000,0.470684
delete,3,107-200,500,0.788000,0.211152,0.692057,0.245460,0.000175,0.000122,-4.850000,92.49,0.304000,0.460443,0.210000,0.407716,0.210000,0.407716
delete,4,200-200,500,0.728800,0.226170,0.616644,0.248854,0.000185,0.000143,6.604000,160.5,0.486000,0.500305,0.250000,0.433446,0.236000,0.425047
replace_random,0,19-35,2500,0.797160,0.300573,0.741192,0.318847,0.000524,0.001156,75.02,416.7,0.258800,0.438063,0.390000,0.487848,0.347600,0.476303
replace_random,1,35-63,2500,0.811560,0.311225,0.767648,0.327970,0.000508,0.001069,75.50,422.4,0.233200,0.422953,0.330000,0.470307,0.287600,0.452734
replace_random,2,63-107,2500,0.826840,0.303052,0.787953,0.325852,0.000545,0.001393,81.39,459.8,0.212000,0.408807,0.330000,0.470307,0.296400,0.456761
replace_random,3,107-200,2500,0.821480,0.317198,0.786833,0.337132,0.000508,0.001170,75.48,410.9,0.220400,0.414599,0.210000,0.407390,0.185200,0.388537
replace_random,4,200-200,2500,0.824240,0.306689,0.786183,0.330276,0.000414,0.000886,45.70,317.7,0.224800,0.417534,0.250000,0.433099,0.224400,0.417270
