perturbation_type,position_label,n,topk_overlap_mean,topk_overlap_std,jaccard_mean,jaccard_std,js_divergence_mean,js_divergence_std,target_rank_delta_mean,target_rank_delta_std,top1_changed_mean,top1_changed_std,original_target_in_topk_mean,original_target_in_topk_std,perturbed_target_in_topk_mean,perturbed_target_in_topk_std
delete,first,500,0.873400,0.117729,0.792521,0.167566,0.000124,0.000021,-2.738000,59.30,0.214000,0.410538,0.302000,0.459585,0.302000,0.459585
delete,p25,500,0.877000,0.112589,0.797098,0.163268,0.000127,0.000019,-2.918000,52.25,0.214000,0.410538,0.302000,0.459585,0.306000,0.461291
delete,p50,500,0.877400,0.111238,0.797376,0.161599,0.000129,0.000020,-2.230000,53.69,0.228000,0.419963,0.302000,0.459585,0.304000,0.460443
delete,p75,500,0.873000,0.112233,0.790765,0.163984,0.000133,0.000021,-1.472000,50.14,0.224000,0.417340,0.302000,0.459585,0.310000,0.462956
delete,last,500,0.511200,0.245673,0.379525,0.222928,0.000361,0.000220,14.38,202.7,0.736000,0.441241,0.302000,0.459585,0.240000,0.427511
replace_random,first,2500,0.950520,0.067864,0.913087,0.114629,0.000202,0.000023,0.164000,27.76,0.065200,0.246928,0.302000,0.459217,0.305200,0.460584
replace_random,p25,2500,0.968000,0.054269,0.942946,0.094596,0.000206,0.000023,-0.159600,13.57,0.048400,0.214653,0.302000,0.459217,0.302800,0.459561
replace_random,p50,2500,0.962920,0.057675,0.934015,0.099669,0.000208,0.000024,-0.012400,16.29,0.060000,0.237534,0.302000,0.459217,0.300400,0.458524
replace_random,p75,2500,0.950560,0.068859,0.913331,0.115641,0.000216,0.000030,0.582400,20.33,0.083600,0.276842,0.302000,0.459217,0.305200,0.460584
replace_random,last,2500,0.249280,0.237626,0.166430,0.179288,0.001667,0.002208,352.5,856.2,0.892000,0.310443,0.302000,0.459217,0.127600,0.333711
